Commental title,Review main body
"So many people praise the male two, I want to ask 2 questions","They are all in the middle of the mother, and the Male, the Male, I am a big failure. 1. Such a smart self-contained person, you should remind the Trienda's candidate. Even if I don't believe that the stranger only reminds the male master, I also recognize it, draw a lot of people who don't piercing it, the sound of the limbs is a good man, how to see it is Baili without harm. 2. If you have abandon your teammates, the end of the tug"
Squid game is not good,/
Korean story without Internet thinking,/
"""Squid Game"": Do you also believe in people? Even after that, after that.",/
The last game is too disappointed,"Finally, the beautiful name is the squid game, and there are so many rules, what single legs, the offensive party defensive side, the result has added a mortality to the other party. Great VIP spent a big price. Two people don't have any rules. These two have no skill levels, what can you see? Isn't the black boxing? Does the VIP are not a clever game in their design?"
_hand_,"First, the second episode ratio _ good, then the back story is complete _ decline, the sixth episode is _ _ _ _ value, there is also ___ ¾« _ ¾« ¾°, _ I __ ÔÚ ¿´ Õæ ÈË _ . Find my brother's police story _ road _ Cheng Chengbang big brohing _ ghost, final brother brother, one _, younger brother ""_ Ö® º£"" I don't know how to go _ _ (__). _ È» ±Æ ÈË _ ½â"
Excellent 7 points,"Squid game is a very good 7 slice. I personally have a ""7 division theory"" Ha, that is, most of them are 7 points in my heart. They are solid, there is no big shortcomings, there are many small advantages and one or two flash points, as if there is a school in the class - unlike the same personality as learning God, it is trustworthy. 7 points is also the most friendly, bloody, horror,"
Koreans are imagined to be very general,/
Squid game brief evaluation,"After the squid game, I downloaded the original version without deletion (with bloody lens), the actor's lineup is Korean national treasure actors, the strength is active; the main theme I really like, each game link is angry, the atmosphere creates thrilling There is a nervous irritation, and at the same time, they will continue to excavate the humanity in the process of life and death, and those who start participating in the game have won big __ turned over in a sad life."
"Good-looking, absurd is not true","The absurd place wants to ""parasites"", compared to the ""gambling hypothesis"" of the same theme, I don't know why people feel more real, maybe Koreans' black humor is too exaggerated? The whole drama actually only shocked me, one is the beginning of the game, one is the end of the game, it is unexpected. In other words, I was awarded by Liu Yili, I didn't expect him to start and ended his face."
"Good look, but not perfect enough","Korean film, made good results in Netflix. The first time I met or when I was on the B station, I saw a blind man: ""If there is a squid game"". Wow! game! Point to open a look, _ sugar game! The shape of the shape but also the regular person! One looks found that it is a TV series, and only 9 episodes! Is interest not to come? Now I have finished brushing, too strong! A lot of places"
"If you are you, how do you do ...","If you are you, how would you do ... If you choose in front of you now, you will not take this ""game"", here you feel that the story is not clear enough for the participants, of course, for life falls into underestimation or already People walking on the edge of the cliff, you will talk about it seriously, so that you can use the children's game ""to lure"" people's ""letter"" on the subway station, and there are several believe them."
Squid game film review,"1. The way to enter the game is quite realistic. 2, the director's last red hair is really fascinated. 3, the whole drama is really the game of adults in playing children, there is no IQ. 4. Some people say that the end is a year of Qixing, she remembers the retrieval of others. So obvious vulnerability director must have another meaning, don't understand? 5. I think it is not bad for human portrait. The commonality of rich people and poor people"
Blooming in the cruelty in society,"Concentrated and concurrent social cruel. The player voluntarily chooses to return to the game, really ambitious. They only have to go through the road in reality, one death, it is better to go to the game in a few hundred thousands of life. The game is cruel, but there are two problems, what makes these people to the desperate situation, what makes the man killed the way. These people either gambling, such as men, either greed, such as"
"Primary school diary makes a Chinese version of ""squid game""","Today, I went to my sister's home to play, turned out the diary of her elementary school. The whole record is all about playing games, this is simply a ""squid game""! If it is taking it. . . The first level, kicking the scorpion, kicking all over 10, can eliminate most people with this level, after all, only a few people are eligible to participate in competition. Second, group games, double cycling"
Pure spit,/
Poor people must have hateful,"Surrounded by rich people ... have the right person ... The top of the food chain ... The top of the society ... good people are good? Is bad guys bad? This is society ... this is real ... It seems that because of a male and benevolent, he finally won the game. In fact, he only is kind to the player. Give the deepest harm to daughter, wife and mother. It is also a bad person. To say good, the most kindness of the whole drama should be the nose"
"Truth, private and good",/
"Waste Virgin man by the dog, the dog is transported to the story.",/
Can you say that players go to participate in the game is purely from voluntary?,/
Worth a five-star squid game,"A class of game competitions is the most informative form of the audience, because it would like to know who is gone in the results of the game. The first game is a wood, a huge puppet girl, a little girl, very visual impact, and shooting a scene of the scene to kill hundreds of people and spectacular. The second game _ sugar, the shape of the candy. The male second is here to start drying people's unfavorable things, clearly guess the rules of the game, pick it yourself"
Worth a five-star squid game,"A class of game competitions is the most informative form of the audience, because it would like to know who is gone in the results of the game. The first game is a wood, a huge puppet girl, a little girl, very visual impact, and shooting a scene of the scene to kill hundreds of people and spectacular. The second game _ sugar, the shape of the candy. The male second is here to start drying people's unfavorable things, clearly guess the rules of the game, pick it yourself"
"Cherish life, stay away from marketing?","Overall rating: Big Cotta __ Hungry Game Motor Assembly Crazy Gambling The Asian Textual Extra Low Edition of the Director of the Opera Group. The chainsaw contributes a cancer BOSS old man, hunger game helps a stage and game settings, gambling instructs you a gambling, full of man, and a bunch of roles of role, do not want one Column. All-member face, classic gambling dog, male, male"
Look at the squid game,/
"""Mustability Method"" in the squid game","The squid game is not a game ""Must Resistance"" (reaching the rules of the game, you don't have to fight against the dead) 1 or two wood people, when the first person is dead or the first round, the back people take The body is like a block of the arcrack, just like the eagle to catch the chick, everyone can move forward in the woods, waiting for her to return to the whole, most people can live. 2_ sugar game, main and male"
If you participate in the game is me. . .,"The National Day holiday did not go home, and the housemite spent two days in the dormitory. At that time, when I saw the 9th episode of the man, I went to the groom, I was saddened, and Sigh: This screenwriter is really capable. After reading this drama, in addition to it, I still have a little idea. I don't like other commentators to analyze the characters in the play, and there is no level to write"
"The poor people fight, only a rich game of the rich - squid game",/
"I feed the stray cat, I am a good person.","My name is Cheng Xun, although I am busy with the people, I will fight my wife to climb to the hospital, but my worker is dead, my wife is not all sent, although my mother needs money to use money I don't know why the ex-wife's home borrowed money, and my husband borrowed money and told me to go to his family less to watch my daughter. This is not to hold a horse to play people? Although I don't want to see my daughter, I don't want to see my daughter."
Squid game: Money or life choice,"I summed up the doubt that the elderly is the final BOSS is as follows: 1: Yes, the first game 123 wood people can see that the old man is very active and happy to participate in this game, and the elimination is still very happy after the price of death, it is still very happy. ( The first forward, and it's a smile."
"Male master, a fake savior",/
Analysis of the main character of squid game,"Cheng Xun: Characteristics: Simple, passionate objective relationship with life: simple inner parents - simple and happy autologous. The stocking family has grown, there is not much way to limit, the growth environment is relatively simple, so always maintaining a long and simple heart. It is not much, un contaminated heart. But keeping a high cost in modern society, eventually can only live in a society"
Adult child,/
VIP Guest House,"That helped the English VIP, which is bored to find blood to find excitement the most most powerful people. They pillow the big breasts and beautiful women's __, on the people who are on the ground. Just find a warm waiter wants to smash. It is simply the biggest irony of real world money. Like the theme of Alice in the country of the country. 1. One or two wood people 2. _ sugar 3. Tutoring the river 4. Posa 5. Go Glass Bridge 6."
"The upper person in the game, the next person","Rule makers are really properly taking the player's mentality. It can be described as the thick black class of the host. First, [concealing the message to yourself] After the wood people game, some people began to quit the game, the formulars only said that once the game could not stop, but did not tell that the player can terminate the game. Second, [will put huge interests in front of the temptation]"
"Personal feelings, diversity scores",/
Why do you use a kindness?,/
"Humanity, but it is",/
Smecta,/
Bone life? Eternal reincarnation?,/
Chase,/
"The whole staff, everyone killed in the squid game!","Do you see the September Tulu ""squid game""? On the day of the first broadcast, I mounted the first place in TVShows, became a new favorite of Netflix, and I had confirmed that the next season will be taken. The number of female characters of the female role, the number of INS fans, more than 10 million in a short period of time. And China is also frequently boarding the microblogging hot search list, the Douban rating 7.7, the mark has seen a number of people, and nearly 80,000 people want to see. Everyone wants to see"
"Where is the game, it is human nature",/
Boring,"I started to watch the squid game, people ran in Flymetothemoon, and slow jazz, one of the brains broke, the blood was full, I was very beautiful, the princess smiled very happy, said true I don't say something like you will do. Slow lens is so fragile to push people to me, I don't know them, but they have been smashed because I was watching."
"Endroom game, real world Korea",/
"After brushing two days, a bunch of unfained crushed","[There is definitely spoiled] ¡ñ Because I have been seeing recommendation and blowing, I have gradually becoming interest. As a result, I was spoiled by a sentence, and although the man was a mixed, it was a child. ¡ñ Some places make me some uncomfortable and dissatisfied. For example: ""We only have / don't be girls here"", such as the whole three begun, all women, such as why spend so long playing boring"
Squid game ¤Î Littleouououou Lull Little Painting Detail,/
Net fly now does not pick anything,"IP's IP of the fire in the second quarter of the car is not as good as the college students, I don't know how to do it. The anti-sent from the head to the end of the soldier killing, the result is that the knife did not take a bit bite a sideway neck, it is not coming? Ning is Achilles? The protagonist has a small punch for his mother and his wife, and the old lady who has just met the old lady is picked up? Northeast silver"
Take Some Notes,/
Use everything exchange,"In fact, I am thinking, gambling all exchanges, is it life? He has lost his kernel of life, and it is a walking dead, the life of the skin. This is also the distress of our self-cultivation. Sometimes I feel that life is expensive in those glitter places, but forgets the kernel of the relative meaning. Do not"
human nature,/
"Suitable for the good drama of the meal, not all dramas need to be deep",/
This is a killing game? This is a saints!,/
"In the same subject, there are some souls, and the time you can do.","The medium rule is difficult to score, and the four points are too high, and the three points are too low, and 3.5 is best. Five-point 3.5, very 7.5. Overall, some unfortunate dramas are slightly grinding, it is the category of the melody, but some aspects are unintended, and they seem to have a mid-ruled medium. But what about grinding? In terms of plot, the core seems to be able to explore the line of human nature, but it explores some shallow"
Tucao China high-liability,"I just pursued the full drama, and 6 game metaphors I saw the translation of the director group interviews. 1.123 Wood people talk about the Korean education system constantly eliminated students who do not meet their requirements; 2. - Sugar games: Talking about the importance of career choices, high education (securities division) / people (doctors) can choose The simplest way is successful, and the choice of the man is to die, but only"
Game bored + people set boring + plot boring + marketing full points,"The more you want to get angry, the whole network gives me the marketing of the sugar game. I think that I am in my own spirit. The result is still not escaping the routine of the marketing. 1. It is also so awkward before the game. OK's sugar, I understand, male The main minister, the other game is? After reading it, I only have this game to market. The first game is a one or two wood people, who is the rule who is dead, who time"
The first eight episodes of the cow êþ + speechless,"The top 8 episodes of the full play, the end seem to give the audience some hope, the hard plug is given you a sacchark .... A big mouth cream, this is called a tearful tears ... Let me talk about this drama. First of all, in a Warm scene of Chu Gate, through children's game settings, reflect humanity and not"
High expected high,"A lot of horrible infinity flow novels are stronger than this. . . If you set the system selection of people to play games, I feel acceptable. . . So many people missing each year, no one is reported, no one is found? It is impossible to everyone who is a father who is fade. The plot routine can also guess, and finally, they can only live a self-sacrifice. Male two personality can still understand, Xiao En"
Always: This is still reason,"Write a few impressive points 1, the man's owner's portrait is actually very good, he is the kind of person who is ordinary but feels useless, but most people. Because the company has problems, they have passed the employee, and the colleagues who die; they want to work hard. As a result, even the families have lost them; they owe a lot of money, the benefits, and inevitable, I want to be ridiculous, gambling - it is not easy A little luck, but"
human nature,"At first, I knew that this show was because a sound pushed me a few buckled sugar cakes. I stated my curios, so I saw this show recommendation index ________ (fourth dedicated to me favorite A Garcy Thank you) @ ÄÚÈÝ: The organizer pulled a group of desperate people who owed a ass, participating in the game. Playing is a child's game, laughing to the final person can get 45.5 billion bonuses, but"
Squid game,/
"That day, he turned and left the plane, and the drama cooked this.",/
"The sixth episode is ""just fabric"", it is the ""black pearl"" of the full drama.","[Not a film review, you can record it. Short written, write a film review] 8.9 is too exciting, firmly attracted. Motivation, fast rhythm, nervous, complicated human nature, this kind of game can guess the game can be guessed, seeing my hand is sweating, explaining the story itself, the director, the actor is too excellent ! Each role is worth afraid. The sixth episode, the garde set ""just cloth"
"The squid game fire is out of the circle, there is a certain necessity",/
Used in the last ten minutes,/
Unfair is the biggest fairness (drama accident),"Don't talk nonsense, open the door to see the mountain. The squid game says - all participants in this game are equal, participants all compete fairly in the same conditions, we are giving people to the outside world, suffering from unequivity treatment and discrimination, the last chance, Fair competition wins. Some people really use this rule, such as the German show and the fat man playing beads to make a change"
Squid game short comment,"In fact, I was probably able to deal out the trend of the plot in seeing the top three episodes, but the last one just gave me a very interesting. When the net fly, the quality of the net is given to us, and the VIP with five masks has just responded to the five norms of the United Nations today; the Northern Northern is destined to be punished, even if the female owner wins hundreds of billions, I am afraid I can't see it. My mother; South Korea's police once again been directly ridicpeted"
Internal volume,"The recipes about the squid will have a knife, and the water is the step of water, so the squid will be a volume, the sauce can be better hung on meat. After all, the word flavors is set to the squid. Do not hang sauce squid is stinky. So the Japanese invented the fried squid. In addition to the roll cover, the glow is probably stinky. In China, there is another word called the inner volume, put it on the cuisine of the fried squid."
Can you not want a man?,/
Everyone has been in the game,/
Hawk,/
About humanity and not good,"When I started watching, I was recommended by everyone. When I finished reading, I recalled the details in the play, and I was so bad that the truth is a bit uncomfortable. It is really uncomfortable. There are several questions to the participants (probably summed up): Whether to end the game; help the weak or choose the power; take the initiative to return to the self-insurance; cooperation is still unique; you may face the weak"
Humanity is really test,/
"Our discussion should not be ""humanity until it is undesirable?""","Say a few more ways to look ~ 1. I think it is not bad, StraightForwardGameSettings + Mercilesskillings + East Asian background, satisfies many people's hunting psychology, it is no wonder that the Internet is currently the most successful Koreanshow. Seeing that comments say this is the reason is that human essence is to see other people, they don't dare to share. Human becoming such complex species, everyone is different"
"The mark ""I have seen"" has a lot of words, I can only write a drama, too lazy to delete words.",/
"Realistic world LOSER a ""fair"" game","This drama mainly talked about the defined LOSER of the real society in order to win 45.6 billion horror killing game of ""fair competition"", and the darkness and greed are exposed in front of death and greed. ."
Squid game,/
"Although I gamble, I am a good person.",/
Sociological experiment of a super volume large group site + high intensity built,"A super volume large group site + high-intensity built sociology experiment, full of metaphor for merit society. 1. Humanity is hybrid and animal sex. 2. People are Muqiang, in the game, everyone wants to team up to team, they must quickly find their position, some people do strategic analysis, some people do atmosphere adjustment, some people do time management, can not be clearly positioned and output Value people will become edges"
"Seoul University, super qualified male two","After a day, I spent a day, I would like to look at this play. I will easily felt the suppression, and the recent anxiety has exceeded the explosive value. I don't do anything, I only look at this drama emmmm. Nowadays, 9:30 in the evening will explode in minutes. Ok, it's not pleading. Squid game This style has heard that it is very big, I am almost 100% away from the network. It is still shaved."
Worthwhile,"Some people say it, some people say bad. It doesn't matter, I can easily judge. Like the death of the poison, the ice and blood violence, the black and black and black, and see it. It is hard to say that the Downton Manor is like it. Anyway, I really like hahahahahahahahahahahahaha, hahahahahahahahahahahahaha, hahahahahahahaha, hahahaha hahahahahahahaha, hahahahahahahahahahahaha hahahahahahahaha, hahahahahahahaha."
"View ""Squid Game""",/
"If 001 old man reads a few Dickens, or Tolstott?",/
"They are not embarrassed, ÞÏÞÎ ÊÇ ÊÇ ÎÒ","I did a lot of psychological construction, I decided to see a Korean drama. But, good disappointment, good ordinary. I didn't expect that for so many years, the Korean drama protagonist is still stupid and aunt, and the whole process is opened, and the power of others is wisdom and sacrifice unlucky, although the woman has become male, but they are as recursive. Even the characters of the first male master can't stand, I can imagine that this drama has many thin. use"
Conclude three,"1 It is better to say that the mask will be a personality, but it is better to see that people face the face. The way to get trusted in the play is to pick up the mask, ask each other, see people, have the ability to believe in humanity. 2: Poverty or blessing, life is the same, the same is to win. Human sex will not be content, so I don't understand Changle, and I will ultimately move humanity on the casino, and I'm touched to ordinary brilliance."
"If you are in the beast, how can you break around?",/
"Shocked, there is a country's escape work in the Francisco",/
"Squid game, not only the game","Naked man-made a drama of human nature 1. The wonderful bad people in the sinister ignorant, the woman's black society, the puree in the characters, from the head to the end of the distinctiveness. For money (or life), it can be described as an evil, and it will sell his companion. For this woman, it is only when she is useful to him. Nothing, unreliable,"
"They are all in the male, but I think the male master is the ordinary person waiting for me.","So, under the battle of life and death, only a false gentle can live to the end. This film is wonderful, it is from most people's pain - no money, the desire to show the people. Many people spit the male owner finally give up the behavior of the murder, I think it is reasonable, the male master is the popularity of the generals. There is not much malicious, there is not much good sense, when he is in"
Fish game? Exploitation system!,/
Humanity and people,"After reading the recent ""squid game"", a depressed, touched, helpless, gratified, sad, unwilling, confession ... all kinds of emotions, maybe this is a good drama. The plot of human nine episodes is not long, but it is a deep discussion of sexual society or sexual evil. In the six-round game, it is full of true evil. In order to make it, for the temptation in front of you, in order to"
Some narrow little views of the squid game,/
"In order to achieve the saints, the screenwriter shaped a group of villains",/
Squid game will not stop,/
"Squid game, human game","Two views: First: Most of the protagonists in the hearts of the audience must be three views, do not eat and drink, gambling, not tattoo, a positive energy. However, the protagonist setting is not perfect, and the whole drama does not matter if it is the story itself. It doesn't matter how the protagonist experience, the protagonist is not right. Second: Most audiences understand the human nature is very simple: non-black is white. The most deadly, but the protagonist is a little good, the main"
"Recent fire ""squid game"": a story caused by marginal utility decrementing theory","On the second day of long vacation, I took over the ""squid game"" of the recent fire in a breath, and I launched the whole drama is the ""marginal utility declining"". Let's talk about the theory of ""marginal utility decline"". Marginal utility means that consumers have an additional degree of consumption increased by a unit of consumption. The meaning of the margin is additional increment. In marginal utility, the self-variable is consumption of an item, and"
"""Squid Game"" film review",/
Squid game short comment,/
Plays to explore human nature in a slightly tender story framework,/
SK Broadband is preparing to file a lawsuit against the network because of the increase in network maintenance costs caused by watching squid games.,"Come on the Internet, I just went online, I saw the most handsome Li Chengza teacher in the four male gods in the love of my favorite, I took it over Yesterday, the Korean telecom provider SkbroadBand fly because everyone At the time of watching the squid game, the network maintenance cost is rising __ screenwriter wants to build is a concentrated social state film and television work combining commercial and realistic combination"
Squid game,/
Squid game and loss,/
"Although there is a dark side, don't discard a little good (personal point)","After watching the style, it is really wonderful enough to reflect the humanity. Scene has been stunned. It is really the ruins of the child's annual drama. It is really evil. Human evil is concentrated into childhood simple game reality, we are also from small to most, when choosing small, the price is not big enough to come later, more and more"
After chasing a few points I want to say,"1. On a lot of netizens say that it does not have a lot of games, I feel that the director's focus is not in these game itself. The childhood game is just a vector. Sense of directive intentions or human social emotions (Korean directors like this script) If you want to see the brain creative type, you can go"
"The more you look at it, the more you want to see, after reading it?","__ male land layer LOSER, ordinary people's true portrayal middle-aged unemployed old people, marriage industry double failed, debt high school is unwanted, body organs come to debt, stealing pensions for gambling horses, underlying slag no friends. Although the man is caught in the life, but fortunately, it will still retain the initiality of people. I saw the stray cat on the roadside, willing to share it a warmth; see the old grandfather's urine, take the initiative to take off the jacket"
"""Squid game"" I don't think too much, because it didn't come to that position",/
Following the film and can not save Korean,/
Humanity is evil ... good? !,"001 The pioneer of this game should be a problem with his son's childhood, his son is definitely his original intention! The entire scene is like a fairy tale world, the color is bright, the game is simple - but the rules are simple and the bloody violence in the back is huge! No. 456 is a bad guy in the pile of good people. It is a good person in the bad guy - this is a child's language, only good and bad in his eyes! People live alive"
Lucky game is okay,"It can be said that I am quite like this theme, and Alice, holding gambling, and the country of the country, is still quite disappointed. One of the most failed is the setting of the game, and 6 games must be the main bone of the audience. No. 1 Game: One or two wood people, although the game is very simple but become very challenging under the threat of zero-fault death, this is a very testist"
"If freedom does not limit, it will definitely lead to exploitation of weak people.",/
"If you shoot the Chinese version, I recommend several games.","The first turn left, the reaction slowed down; the second gate first in the ""step map"" ""ô¢ »¨ Í¼"" ""Map"" ""Qingming Shanghe Map"" to pick a pair, then the time puzzle; Ten group team gyro, limited time, the gyro all fell to the team; the fourth use high-voltage wires to make long rope, take a big rope, touched the rope, electric death; the fifth level two groups, Throwing a balance, two"
"Regarding whether the police brother have feelings about the police, ""I have a good idea.",/
Why no one says the biggest bug,"After the doctor died, there were 39 people, 19 pairs, according to the reason, there should be 19 + 120 people, but why only 17 ............................................................... ......................................................................... "" ......................................................."
An understanding of men's owners,/
Essay | Personal Interpretation,"In the process of watching, you will be in the process: the sixth episode is the most uncomfortable episode I have seen. You can't judge who is wrong, standing in the perspective of God, looking at the character of the characters. In order to live, it is true that the resort is indeed human nature. But I am curious that this is involved in prisoners, there will be no solution to a win-win solution. I cried again Jiang Xiao and Zhiying, he went to Jeju Island. Stanford Prison Experiments"
I want to say that the protagonist is a good talent!,"This type of big escape type is too pleasing ... Almost the type of movie that can be found on the market, ""big escape"", ""gambling"", ""animal world"" ""cube"", ""Alice"", ""Di Room Escape"", ""People Wolf Game"", ""3%"", ""Zero ~ One Get a Gold Game"", ""Accumulation ~ Seven Day Death"", ""Fraud Game"", ""Famous Brand game"""
"Wonderful desperate human test, but the society should really be like this?",/
"""Let's leave here together""","The single-footed jump game started with the squid game laid a tone of suspended black vivid, and then slowly entered that atmosphere. Several points that make me impressed: the male is going to gamble and then divide 10,000, please ask the bank, a young girl, drink American coffee (although she will come back, hahaha) is hit by the bidder, I will help her. Plug the straw (laughter, let us ginger Xiaofei, there is a beautiful girl in the toilet"
Maybe my expectation is too high,/
"This is a thoughtful thinking, fine thinking","After reading it, I am a little fire into the devil, and I'm afraid, I can't jump out. . . Will always think. I haven't seen it for a long time, I have been keeping a TV series, there is no urination in the whole process, the collision of human nature, and I have a little doubt. . . It is said that it is six days of games, but overall is still a lot of games. One talks. The first wood man game, in a huge empty venue,"
This man is really EX to me.,/
Squid game view,"After reading this ""squid game"" this is a simple film review: the most beginning is because the female master's mix is __interested in seeing this drama, and then starts to see the settings of this drama. It feels much more drama such as this. However, in these big-shaped, there is also a highlight of this drama: 1. Highlights of the game content; the most childlike game, the most brutal phase-out."
"# Ó° Ó°, ""squid game"" 9 episodes, go to see, so it is too afraid to be removed.","3 interesting points: 1.456 people entered the game for the first time, playing one or two wood people, voting more than half of the number of giving up, the last vote is the abandonment of the grandfather, combined with the end. 2. Emma can't spoiler, really good, the first one who was killed, it was a big handsome guy. The back is always a group of handsome guys who carry the pink coffin until the second person who takes off the mask."
Life is a game dream,/
Combined with the ZZ background to see more interest,"# ¼ö ¾ç: ""Squid Game"" stayed up late from the recent ""squid game"", after the beginning, it is still quite excited, there is a bit of tartarn director is a ""furnace"" director who has changed the change of Korean law, he is not very High yield, each, is very sophisticated, the actor starring has Li Zhengager, passenger string Li Bingxian, Kong Hao, very moving Emperor, the configuration is quite confident, then this drama still has South Korea"
Humanity is really complicated ...,"The plot has a total of 6 games: one or two wood people, _ sugar, tug, marble, glass bridge, squid game. Of course, participants don't know the content of the game in advance, whether to participate in these games, win the last huge bonus, look like the choice of life and money, but it is not so simple, more may be a human choice. The first time I walked into this game and saw the choice of life and money."
I always want to say something.,"After reading it, the overall feeling is still very good, but the last thing I always feel less. The success of this drama is mainly reflected in comparative comparison of human nature, and each role is more full. Every game is quite well, the first game makes everyone realize that this is not a game. The second game is a personal competition, and there is already a human manifestation, and the personal interest is surging, some people according to their own"
Drama,/
Drama,/
Self-comment - awkward surprise,"Because it may be because there is no high expectation value, I have never seen this type of drama. I really feel very good. When I look at it, my heart is full of ""disabaters"" ""hunger game"". ZZ and unreasonable and the protagonist is unpredictable, so I feel that the experience is very good. Picture starting"
Nothing is class and human nature,/
A good fantasy,"1. ""Which is a person"" is the core discussion of this drama. A person can measure and define too many dimensions, what is the fundamental of our differences from animals and symbols. 2. Animal metaphor is ubiquitous, and the desire expansion to the nature of the pole is the animal. 3. The more emphasized, the more rational person analyzes the problem, and it is easy to quantify emotion. It is also another degree."
"A drama that is not covered, although it is bad, but it is worth seeing",/
"""Squid game"" - mediocre game for old bottles of new water",/
A killing game,"When the rich is boring, it will kill the game in the name of the redemption, and the end of the poor ""descending death"". The first game and the last game occurred in the same place, but the number of people from 456 people to 2, the participants accepted this initial _ person's horrible game, and I also felt that the screen was only a curious ending, Double-speed understanding the plot, so I think I am very afraid of who"
I also participated in the creation of the script (Haha funny) after reading the squid game.,"The cause of this dream is probably a little love to read the web flying drama squid game ... 2021.10.02 07:02 was woken up by the toilet, and he didn't even sleep. He went to the dream. Ready? (So not a film review but I don't know where to write, forgivem"
Not violent bloody is gentle,"1. Police find brother - good unable to sanction & amp; police internal laziness and obstacles refuse to explore the old man of another set of game systems, behind the scenes, BOSS music, people think that he is in a grass. But in his opinion, no one willing to help a person who is poor in Snow, so he does not force people to participate, he gives equal opportunities for equal work. If he doesn't give this opportunity, there is no such thing."
"Who is ""final winner""?","After reading I am thinking: What kind of talent can be the ""final winner"" of this game? If Shang You is generally a person who is a picture, it will lose yourself in the struggle; if Ali is generally good, he will be around the people; Although he was confirmed, he was survived, but it seems to be decadent; he believes that ""people"""
Human light glory is not bright in the upper soles,/
"Bare, a bowl of old soup","If you can save this drama, you can only have the second Li Zhengzai completely black and a half of the day without fast progress. However, I feel that this drama doesn't leave me a very deep picture, and there is not much to guide me. Think things. A bowl of old soup, all taste the taste of many times. After reading the first feel: The focus of the whole drama is placed on the subject, on the screen of the R-18, but finally"
personal opinion,"Only my own point of view. The reason why human nature has always been explored in various art is that it is complicated. If people really like some comments, they will not have been discussed so far. It is because the bad guys also have kindness, and the good people also have evil, in order to make me see the glory of human nature and the darkness. In order to make a word, I write more. That"
"Take a 7 point to ""squid game"" is also full of full",/
Only you die my live game,"In the game that only one person survives, in order to protect the life, people will not be good forever. In real life, I rarely encounter that I have a topic, I will see how much it is to help others sacrifice themselves. Make a lot of money in your ability, don't make money with the premise of others, try to help your kind people. That student glasses male finally died a bit of drama, human nature would not change from the __ of the destiny"
The good people are best?,/
Brief evaluation,"Personal evaluation of a drama first habitual horizontal contrast with the same type of drama, recently seen a similar thing is ""Alice of the country"", I gave 4.5's high score and wrote a dramatic review separately. I can only say that the squid game is at least above 4.5 reached the height of about 4.7, and I also have to write a brief introduction to the relatively objective brief introduction. As a drama of a big escape,"
..,"Has a few a few people with a black mask, do you want to speak English? Old beautiful dog legs South Korea. Old-American dog legs South Korea. Old-American dog legs South Korea. Old-American dog legs South Korea. Old-American dog legs South Korea. Old-American dog legs South Korea. Old-American dog legs South Korea. Old beautiful dog legs South Korea. Old beauty Dog leg South Korea. Old-American dog legs South Korea. Old-American dog legs South Korea. Old-American dog legs South Korea. Old-American dog leg South Korea"
Where is the poor?,"The drama that looks at the test is sad, and human nature can't afford to test. What is more sad is that in front of capital, the poor is like an ants. As long as you participate in this game, you should step on the body of others, whether it is killing it, or indirectly kill. As long as you win the game, you will die, and you will be warm to the companions around you, and it is also fragile. Originally, everyone has no irritation, just paying first."
Changlong recommended,"Squid game Korean TV series Netflix gathered sample survival clearance class evaluation four star squid games. This drama is in line with South Korea's film and television, and life is very cruel; ordinary people want to get a quiet calm in this cruel world, almost a luxury; because there is always a beast ambush in your, for TA's interests Take you at your feet; in order to live, you only become"
"""Thank you ... Playing with me."" ""Squid Game"" No. 240 Zhiying","01 ""Do you?"" - Zhiying ""and a group."" When she appeared, I was thinking, how can her children like such a small sister look like this? At that time, she was very special, someone sat high, others were in a hurry to join the team,"
A surprise killing game,/
"The snow of the snow was saved by the police car. Do not believe in people, but can design a rescue system to keep the bottom, is the police car is not coming?","The last episode is already dead, everyone thinks that the big boss is gone, is it over? not at all! The red-haired protagonist is going to the plane to go to the airport, but he sees the scenes that seems to be met: play square, win money. That person continued to recruit drowsy, sleepy people to participate in this cruel ruthless game, explaining that the old man is dead, the game is still going, this systematic sin is not big"
This show is a deletion version?,"1. Why don't the police are not clear? A policeman then sneaked into a secret base, even if he kills people, then killed by his brother? Why did his brother become a head from the winner? Why sell the old man? The younger brother almost lost your brother to kill my brother directly? ? ? 2. Why is Zhiying's line? (And it is really common, like not like a daba dad SHA mother."
"Global phenomenon of TV series, opening half of the dead, just give me Jacksu?",/
"If you think about it, it is really ugly a film.","1: Unnatural place, such as wearing a net head cover, very play 2: The internal management is very lax, so large-scale can engage in the management of SIs, the management of the organization, such as internal personnel can be recognized If you have anything more, you have no things, you dare to believe. 3: There is no purpose game and killing reasons, and there is a visit to the presence of a VIP. Then I reviewed a VIP's angle, except"
"A good work, but not God","The Korean drama game of the net flying on September 17, which is undoubtedly the hottest, the hottest topic. Whether it is Weibo or a circle of friends, it avoids it. So I was curious, the author also watched this Korean drama and shared their own views here. First, from the overall work, it is undoubtedly an excellent and high completion of the high-altitude big escape game type TV series. From actor's performance, service"
Men's strange people,"456 This figure is the code of the male master, but I am curious, this code. At that time, the money was worth 45.6 million won. That is, his code. Are they related to their experiences? How is Jiang Xiao injured? Huang Junzhen is a bit awkward. And the origin of the mask, there are still a lot of puzzles ... In fact, the man will buy birthday gift from the beginning to his birthday."
